Bertus Aafjes (1914–1993, Netherlands, p)
Nelson Algren (1909–1981, US, f/nf/p)
Muhammad Ibn al-Habib (1876–1972, Morocco, nf)
Tawfiq al-Hakim (1898–1987, Egypt, f/d)
Ahmad ibn Hamdun ibn al-Hajj (died 1898, Morocco, nf)
al-Ḥujayjah, (Safīyah bint Tha'labah al-Shaybānīyah, 5th – 6th c.), Arab region, p)
al-Ḥurqah (5th – 6th c.), Arab region, p)
Abdullah Yusuf Ali (1872–1953, India/England, nf)
Agha Shahid Ali (1949–2001, India/US, p)
Ahmed Ali (1910–1994, India/Pakistan]]
Ayaan Hirsi Ali (born 1969, Somalia/US, nf)
Bachtyar Ali (born 1960, USSR/Germany, f/nf/p)
Hauwa Ali (born 1995, Nigeria, f)
Idris Ali (1940–2010, Egypt, f)
Monica Ali (born 1967, E Pakistan/England, f)
Mohammed Naseehu Ali (born 1971, Ghana/US, f/nf)
Shawkat Ali (1936–2018, India/Bangladesh, f)
Sabahattin Ali (1907–1948, Ottoman E/Turkey, f/p/nf)
Syed Ameer Ali (1849–1928, India/England, nf)
Syed Mujtaba Ali (1904–1974, India/Bangladesh, nf)
Taha Muhammad Ali (1931–2011, Palestine/Israel
Tariq Ali (born 1943, India/England, nf)
Mohammed al-Idrisi (1099–1165, Ceuta/Sicily, nf)
Abel Alier (born 1933, Sudan, nf)
Mohammed al-Ifrani (1670–1745), Morocco, nf)
Dante Alighieri (c. 1265–1321, Italy, p)
Bisera Alikadić (born 1939), Yugoslavia, p/nf)
Yousef Alikhani (born 1975, Iran, f/nf/ch)
Cyril Alington (1872–1955, England, f/nf/p)
Margaret Alington (1920–2012, N Zealand, nf)
Salma Khalil Alio (born 1982, Chad, p/f)
Kavisekhara Dr Umar Alisha (1885–1945, India, nf)
Archibald Alison (1757–1839, England, nf)
Sir Archibald Alison, 1st Baronet (1792–1867, England/Scotland, nf)
Jane Alison (born 1961, Australia, f/nf)
Rosie Alison (born 1964, England, f/d)
William Alison (1790–1859, Scotland, nf)
Akilu Aliyu (1918–1999, Nigeria, p/nf)
Ghazaleh Alizadeh (1949–1996, Iran, f/p)
Sonita Alizadeh (born 1996, Afghanistan/US, p)
Mohammed Abed al-Jabri (1935–2010, Morocco, nf)
Adnan al-Janabi (living, Iraq, nf)
Zaynab Alkali (born 1950, Nigeria, f)
Ibn al-Khabbaza (died 1239, Morocco, nf/p)
al-Khansa (575–645, Arab region, p)
Tewfik Allal (born 1947, Morocco, nf)
James Alexander Allan (1879–1967, Australia, p/nf)
Mabel Esther Allan (1915–1998, England, ch)
Rob Allan (1945–2021, N Zealand, p)
Rosetta Allan (living, N Zealand, p/f)
Hortense Allart (1801–1879, Italy/France, nf/f)
Donald Allchin (1930–2010, England, nf)
August Alle (1890–1952, Russian E/Estonia, nf/p)
Joseph Alleine (1634–1668, England, nf)
Barbara Allen (1914–1986, England, f), pseudonym of Violet Vivian Finlay Stuart Mann
Candace Allen (born 1950, US, f/nf)
Charlotte Vale Allen (born 1941, Canada/US, f)
Chris Allen (born 1964, Australia, f)
Clifford Allen, 1st Baron Allen of Hurtwood (1889–1939, England/Switzerland, nf)
Dick Allen (1939–2017, US, p/nf)
Donald Allen (1912–2004, US, p)
Elizabeth Allen (living, Australia, p)
Elizabeth Akers Allen (1832–1911, US, p/nf)
Grant Allen (1848–1899, Canada/England, nf/f)
Hannah Allen (c. 1638–1668 or 1708, England, nf)
John Allen (1771–1843, Scotland/England, nf)
John Allen (1771–1839, England, nf)
Leslie Holdsworth Allen (1879–1964, Australia, p/ch)
Mabel Esther Allan (1915–1998, England, ch)
Mary Sophia Allen (1878–1964, Wales/England, nf)
Pamela Allen (born 1934, N Zealand, ch)
Richard James Allen (born 1960, Australia, p/f)
Roger MacBride Allen (born 1957, US, f)
Ron Allen (1947–2010, US, p/d)
Thomas Allen (1681–1755, England, nf)
Thomas B. Allen (1929–2018, US, f/nf)
Walter Allen (1911–1995, England, nf/f)
Isabel Allende (born 1942, Chile/US, f/nf)
Ellen Palmer Allerton (1835–1893, US, p)
Richard Allestree (1621/1622–1681, England, nf)
Artur Alliksaar (1923–1966, Estonia/USSR, p)
Margery Allingham (1904–1966, England, f)
William Allingham (1824–1889, Ireland, p/nf)
Hermann Allmers (1821–1902, Germany, p)
Abdelkader Alloula (1939–1994, Algeria, d)
Malek Alloula (1937–2015, Algeria, p/nf)
Chris Van Allsburg (born 1949, US, ch)
Aaron Allston, (1960–2014, US, f)
Washington Allston (1779–1843, US, p/nf)
Lisa Allen-Agostini (born 1970s, Trinidad, f/nf/p)
Ahmed al-Madini (born 1947, Morocco, nf/f/p)
Sadiq al-Mahdi (1935–2020, Sudan, nf)
Nazik Al-Malaika (1923–2007, Iraq, p)
Arib al-Ma'muniyya (797–890, Arab region, p)
Ahmed Mohammed al-Maqqari (1578–1632, Algeria/Egypt, nf)
Ibn al-Banna al-Marrakushi (1256–1321, Morocco, nf)
Maram al-Masri (born 1962, Syria/France, p/nf)
Anchan (born 1952, Thailand/US, p/f)
Maya Angelou (1928–2014, US, nf/p)
Helena Anhava (1925–2018, Finland, p)
Elizabeth Alexander (born 1962), American poet, essayist, playwright and academic
Maram al-Masri (born 1962), Syrian poet
Elvia Ardalani (born 1963), Mexican poet, writer, and storyteller
György Almásy (1867–1933, Hungary, nf)
László Almásy (1895–1951, Austria-Hungary/Austria, nf)
Øystein Alme (born 1960, Norway, nf)
E. M. Almedingen (1898–1971, Russian E/England, f/nf/ch)
Germano Almeida (born 1945, Cape Verde, nf/f)
Guilherme de Almeida (1890–1969, Brazil, nf/p)
Lúcia Machado de Almeida (1910–2005, Brazil, f)
Manuel Antônio de Almeida (1831–1861, Brazil, f/d)
Marcelina Almeida (c. 1830–1880), Argentina/Uruguay, f/p)
Miguel Vale de Almeida (born 1960, Portugal, nf)
Rita Almeida (born 1974, Portugal/US, nf)
David Almond (born 1951, England, ch)
Steve Almond (born 1966, US, f/nf)
Carl Jonas Love Almqvist (1793–1866, Sweden, p/nf)
Malik ibn al-Murahhal (1207–1289, Morocco, p)
Wallada bint al-Mustakfi (1001–1080, Andalusia, p)
Hamed al-Nazir (born 1975, Sudan, nf/f)
Finn Alnæs (1932–1991, Norway, f)
Karsten Alnæs (born 1938, Norway, nf)
Mohammad Ishaq Aloko (born 1935, Afghanistan/Germany, nf)
Dámaso Alonso (1898–1990, Spain, p/nf)
Faouzia Aloui (born 1957, Tunisia, p/f)
Blanche d'Alpuget (born 1944, Australia, f/nf)
Muhammad Sa'id al-Qaddal (1935–2008, Sudan, nf)
Ahmad Ibn al-Qadi (1552/1553–1616, Morocco, f/nf)
Ibn al-Qattan (fl. 13th c., Morocco, nf)
Zakariya al-Qazwini (1203–1273, Persia, nf)
Al-Saddiq Al-Raddi (born 1969, Sudan, p/nf)
Harun al-Rashid (763 or 766–809, Abbasid Caliphate, nf)
Karim Alrawi (born 1952, Egypt, d/ch/f)
Maqbula al-Shalak (1921–1986), Syria, p/ch)
Hanan al-Shaykh (born 1945, Lebanon, f/nf)
Ahmad ibn al-Amin al-Shinqiti (1872–1913, Mauritania, nf)
Fawziyya al-Sindi (born 1957, Bahrain, p)
Amir Taj al-Sir (born 1960, Sudan/Qatar, f/p/nf)
Vincent Alsop (c. 1630–1703, England, nf)
Alta (1942–2024, US, p/nf)
Ignacio Manuel Altamirano (1834–1893, Mexico/Italy, f/nf)
Fatima al-Taytun (born 1962, Bahrain, p)
Steve Alten (born 1959, US, f)
Peter Altenberg (1859–1919, Austrian E, f/p)
Nathan Alterman (1910–1970, Poland/Israel, p/d/nf)
Louis Althusser (1918–1990, France, nf)
Ahmad al-Tifashi (1184–1253, Algeria/Egypt, p/nf)
Fouad al-Tikerly (1927–2008, Iraq/Jordan, f)
Ahmad Baba al-Timbukti (1556–1627, Mali, nf)
Günter Altner (1936–2011, Germany, nf)
Joseph Alexander Altsheler (1862–1919, US, f/nf)
Mor Altshuler (born 1957, Israel, nf)
Hassan Al-Turabi (1932–2016, Sudan, nf)
T. M. Aluko (1918–2010, Nigeria, f/nf)
Alurista (born 1947, Mexico/US, p)
Julia Alvarez (born 1950, Dominica/US, p/f/nf)
Al Alvarez (1929–2019, England, p/f/nf)
Ivy Alvarez (living, Philippines/Australia, p)
Juan Álvarez (1878–1954, Argentina, nf)
Julia Alvarez (born 1950, US, p/f/nf)
Betti Alver (1906–1989, Russian E/Estonia, p)
Castro Alves (1847–1871, Brazil, p/d)
Moniza Alvi (born 1954, Pakistan/England, p)
Ibn al-Wannan (died 1773, Morocco, p)
Tuhami al-Wazzani (1903–1972, Morocco, nf)
Ibn al-Yasamin (died 1204, Seville, nf)
Marc Alyn (born 1937, France, p), pseudonym of Alain-Marc Fécherolle
Latifa al-Zayyat (1923–1996, Egypt, f)
Am–An
Mario Amadeo (1911–1983, Argentina, nf)
Jorge Amado (1912–2001, Brazil, f)
Ramón Amaya Amador (1916–1966, Honduras, nf)
Elechi Amadi (1934–2016, Nigeria, d/f)
Ifi Amadiume (born 1947, Nigeria/US, p/nf)
Jorge Amado (1912–2001, Brazil, f)
Andrej Amalrik (1938–1980, USSR/France, nf)
Joseph Godson Amamoo (born 1931, Gold Coast/Ghana, nf)
Ludu Daw Amar (1915–2008, Burma/Myanmar, nf)
Ana Luísa Amaral (born 1956, Portugal, p/ch/nf)
Gunadasa Amarasekara (born 1929, Ceylon/Sri Lanka, f/p/d)
Amara-siṃha (fl. c. 375 CE, India, p/nf)
Guru Amardas (1479–1574, India, nf)
Orlanda Amarílis (1924–2014, Cape Verde, f/ch)
Michael Daniel Ambatchew (1967–2012, Ethiopia, ch)
Ingvar Ambjørnsen (born 1956, Norway, f)
Eric Ambler (1909–1998, England, f)
Catherine d'Amboise (1475–1550, France, p)
Stephen E. Ambrose (1936–2002, US, nf)
William Ambrose (1813–1873, Wales, p/nf)
Ambroise (fl. c. 1190, Normandy, p)
Zoltán Ambrus (1861–1932, Hungary, nf/f)
Ellis Amburn (1933–2018, US, nf)
Erik Amdrup (1923–1998, Denmark, nf/f)
Jean Améry (1912–1978, Austria, nf)
Joseph Ames (1689–1759, England, nf)
Nicholas Amhurst (1697–1743, England, p/nf)
Yehuda Amichai (1924–2000, Germany/Israel, p), birth name Ludwig Pfeuffer
Edmondo De Amicis (1846–1908, Italy, f/p/ch)
Alexander Amilakhvari (1750–1802, Russian E, nf)
Gad Ami (born 1958, Togo, f)
Adibah Amin (born 1936, Malaya/Malaysia, f/d)
Samir Amin (1931–2018, Egypt/France, nf)
Chabua Amirejibi (1921–2013, USSR/Georgia, f)
Reza Amirkhani (born 1973, Iran, f/nf)
Mahshid Amirshahi (born 1937, Iran/France, f/nf)
Indran Amirthanayagam (born 1960, Ceylon/US, p/nf)
Kingsley Amis (1922–1995, England, f, p, nf)
Martin Amis (1949–2023, England, f/nf)
Majeed Amjad (1914–1974, India/Pakistan, p)
Anton Wilhelm Amo (c. 1703 – c. 1759, Gold Coast/Germany, nf)
A. R. Ammons (1926–2001, US, p/nf)
Pita Amor (1918–2000, Mexico, p)
Gabriele Amorth (1925–2016, Italy, nf)
Alan Amory (living, South Africa, nf)
Thomas Amory (c. 1691–1788, Ireland/England, nf)
Sheldon Amos (1835–1886, England/Egypt, nf)
André-Marie Ampère (1775–1836, France, nf)
Mohammed Ibn Amr (died 1827, Morocco, p)
Djamel Amrani (1935–2005, Algeria, nf)
Idriss al-Amraoui (died 1879, Morocco, nf/p)
Jean Amrouche (1906–1962, Algeria/France, p)
Taos Amrouche (1913–1976, Algeria/France, f/p)
Moses Amyraut (1596–1664, France, nf)
Anacreon (c. 582 – c. 485 BCE, Asia Minor, p)
Tahmima Anam (born 1975, Bangladesh/England, f)
Anurag Anand (born 1978, India, f/nf)
Mulk Raj Anand (1905–2004, India)
Valerie Anand (born 1937, England, f)
David Ananou (1917–2000, Togo, f)
Dragutin Anastasijević (1877–1950, Serbia/Yugoslavia, nf)
Rudolfo Anaya (1937–2020, US, f/p)
Nicolas Ancion (born 1971, Belgium, f/ch/d)
Manuel Ancízar (1812–1882, Colombia, nf)
Federico Andahazi (born 1963, Argentina, f/nf)
John Anderdon (1792–1874, England, nf)
Alfred Andersch (1914–1980, Germany/Switzerland, nf)
Astrid Hjertenæs Andersen (1915–1985, Norway, p/nf)
Hans Christian Andersen (1805–1875, Denmark, ch)
Susan Andersen (born 1950, US, f)
Tryggve Andersen (1866–1920, Norway, f/p)
Vilhelm Andersen (1864–1953, Denmark, nf)
Adam Anderson (1692 or 1693–1765, Scotland, nf)
Alan Orr Anderson (1879–1958, Scotland, nf)
Barbara Anderson (1926–2013, N Zealand, f)
Benedict Anderson (1936–2015, China/Indonesia, nf)
Catherine Anderson (born 1948, US, f)
Elizabeth Garrett Anderson (1836–1917, England, nf)
Ethel Anderson (1883–1958, Australia, p/f/nf)
Freddie Anderson (1922–2001, Ireland/Scotland, d/p)
Hilary Andersson (born 1967, US/England, nf)
J. Redwood Anderson (1883–1964, England, p/d)
James Anderson (1662–1728, Scotland, nf)
James Anderson of Hermiston (1739–1808, Scotland, nf)
Jessica Anderson (1916–2010, Australia, f)
Jim Anderson (born 1937, England/Australia, f)
John Anderson, 1726–1796, Scotland, nf)
Kevin J. Anderson (born 1962, US, f)
Lena Anderson (born 1939, Sweden, ch)
Marjorie Ogilvie Anderson (1909–2002, Scotland, nf)
Matthew Tobin Anderson (born 1968, US, ch)
Patrick Anderson (1618–1635, Scotland, nf/p)
Perry Anderson (born 1938, England, nf)
Poul Anderson (1926–2001, US, f)
Rachel Anderson (born 1943, England, ch)
Robert Anderson (1841–1918, Ireland/England, nf)
Terry L. Anderson (living, US, nf)
Verily Anderson (1915–2010, England, ch/nf)
Victor Henry Anderson (1917–2001, US, p)
Dan Andersson (1888–1920, Sweden, p)
Emma Andijewska (born 1931, USSR/Germany, p/f)
Venko Andonovski (born 1965, Yugoslavia/N Macedonia, f/d/p)
Stojan Andov (born 1935, Yugoslavia/N Macedonia, nf)
Carlos Drummond de Andrade (1902–1987, Brazil, p)
César Dávila Andrade (1918–1967, Ecuador, p)
Eugénio de Andrade (1923–2005, Portugal, p)
Jorge Carrera Andrade (1903–1978, Ecuador, p/nf)
Mário de Andrade (1893–1945, Brazil, p/f/nf)
Mário Pinto de Andrade (1928–1990, Angola, p/nf)
Oswald de Andrade (1890–1954, Brazil, f/p/nf)
Bernard André (1450–1522, France/England, p)
Lou Andreas-Salomé (1861–1937, Russia/Germany, f/d/nf)
Neshani Andreas (1964–2011, SW Africa/Namibia, f)
Emil Andreev (born 1956, Bulgaria, f/d)
Petre M. Andreevski (1934–2006, Yugoslavia/N Macedonia, p/f/d)
Peter Andrej (born 1959, Yugoslavia/Slovenia, p)
Emil Andreev (born 1956, Bulgaria, f/d)
Isabella Andreini (1562–1604), Italy, d/p)
Stefan Andres (1906–1970, Germany/Italy, f)
Sophia de Mello Breyner Andresen (1919–2004, Portugal, p/f)
Bruce Andrews (born 1948, US, p/nf)
Isobel Andrews (1905–1990, N Zealand, d/f/p)
Julie Andrews (born 1935, England, ch/nf)
Kevin Andrews (1924–1989, US, nf)
V. C. Andrews (1923–1986, US, f)
Ivo Andrić (1892–1975, Bosnia/Yugoslavia, f/p)
Ron Androla (born 1954, US, p)
Aneirin (early medieval, Cumbric kingdoms of Britain, p)
Harriet Anena (living, Uganda, p/nf/f)
Guru Angad (1504–1552, India, p)
Patricia Angadi (1914–2001, England, f)
Ardan Angarkhaev (born 1946, USSR/Russia, p/f/d)
Ernst Angel (1894–1986, Austria/US, p/nf)
Ralph Angel (1951–2020, US, p)
Marguerite de Angeli (1889–1987, US, ch)
Stefano degli Angeli (1623–1697, Italy, nf)
Klairi Angelidou (1932–2021, Turkey/Cyprus, p/nf)
April De Angelis (born 1960, England, d)
Norman Angell (1872–1967, England, nf)
Domenico Angelo (1717–1802, Italy/England, nf)
Maya Angelou (1928–2014, US, p/nf)
Eduardo Angeloz (1931–2017, Argentina, nf)
Angelus Silesius (c. 1624–1677, Germany, nf), pseudonym of Johann Scheffler
Kenneth Anger (1927–2023, US, d/nf)
Giulio Angioni (1939–2017, Italy, f/nf)
Jared Angira (born 1947, Kenya, p)
Ndeutala Angolo (born 1952, SW Africa/Namibia, f/nf)
María Nsué Angüe (1945–2017, Equatorial Guinea, f/p/nf)
Jonah Anguka (living, Kenya, nf)
James Stout Angus (1830–1923, Scotland, p/nf)
Marion Angus (1865–1946, Scotland, p/nf)
Sam Angus (born 1967, England, ch)
Helena Anhava (1925–2018), Finland, p)
Thea Astley (1925–2004), Australian fiction writer and poet
T. E. Anin (living, Gold Coast/Ghana, nf)
Guda Anjaiah (1955–2016, India, p)
Augusto dos Anjos (1884–1914, Brazil, p)
Nadia Anjuman (1980–2005, Afghanistan, p)
Charlotte Anley (1796–1893, England, f/nf)
G. E. M. Anscombe (1919–2001, Ireland/England, nf)
Süreyya Aylin Antmen (born 1981, Turkey, p/nf)
Ella Anker (1870–1958, Norway, nf/d)
Nini Roll Anker (1873–1942, Norway, f/d)
Robert Anker (1946–2017, Netherlands, f)
Charlotte Anley (1796–1893, England, f/nf)
Threes Anna (born 1959, Netherlands, f/d), pseudonym of Threes Schreurs
Abdullahi Ahmed An-Na'im (born 1946, Sudan/US, nf)
Kofi Annan (1938–2018, Gold Coast/Switzerland, nf)
J. K. Annand (1908–1993, Scotland, p/ch)
Anders Annerfalk (born 1959, Sweden, nf)
Anni Baobei (born 1974, China, f), pseudonym of Li Jie (励婕)
Núria Añó (born 1973, Spain, f/nf)
Anrakuan Sakuden (安楽庵策伝, 1554–1642, Japan, nf/p)
Ali Ansari (born 1967, Italy/Scotland, nf)
Khwaja Muhammad Latif Ansari (1887–1979, India/Pakistan, nf/p)
Anselm of Canterbury (1033/1034–1109, Italy/England, nf)
Peter Anson (1889–1975, England, nf)
Christopher Anstey (1724–1805, England, p)
Marion Anstis (living, Australia, nf)
Manana Antadze (born 1945, USSR, nf)
Anthim the Iberian (1650–1717, Iberia/Wallachia, nf)
Anthony (安东尼, born 1984, China/Australia ch), pseudonym of Ma Liang (马亮)
Evelyn Anthony (1926–2018, England, f)
Lawrence Anthony (1950–2012, S Africa, nf)
Michael Anthony (1930–2023, Trinidad, f/nf)
Piers Anthony (born 1934, UK/US, f)
Mika Antić (1932–1986, Yugoslavia/Serbia, p/nf)
David Antin (1932–2016, US, p/nf)
Antler (born 1946, US, p), birth name Brad Burdick
Sorin Antohi (born 1957, Romania, nf)
Susanne Antonetta (born 1956, US, p/nf)
Slobodan Antonić (born 1959, Yugoslavia/Serbia, nf)
Voja Antonić (born 1952, Yugoslavia/US, nf)
Brother Antoninus (1912–1994, US, p), pseudonym of William Everson
Torben Antretter (born 1992, Germany, nf)
Raymond Antrobus (born 1986, England, p)
António Lobo Antunes (born 1942, Portugal, f)
Gabriela Antunes (1937–2004, Angola, f/nf/ch)
Christopher Anvil (1925–2009, US, f), pseudonym of Harry Christopher Crosby
Chairil Anwar (1922–1949, Dutch E Indies/Indonesia, p)
Robert Anwood (living, US, f), pseudonym
Erica Sugo Anyadike (living, Tanzania, nf)
Kofi Anyidoho (born 1947, Gold Coast/Ghana, p/nf)
Anyte of Tegea (fl. early 3rd c. BCE, Greece, p)
Johannes Anyuru (born 1979, Sweden, p/nf)
Gloria E. Anzaldúa (1942–2004, US, p/nf)
Ludwig Anzengruber (1839–1889, Austrian E, d/f/p)
Atsuko Anzai (安西篤子, born 1927, Japan, f)
Fuyue Anzai (安西冬衛, 1898–1965, Japan/China, p)
Ao–At
Leïla Aouchal (1936–2013, France/Algeria, nf)
Góshó Aoyama (山剛昌, born 1963, Japan, f)
Johann August Apel (1771–1816, Germany, f)
Guillaume Apollinaire (1880–1918, France, p/d/f)
Sulpicius Apollinaris (fl. 2nd c. CE, nf/p)
Apollodorus of Carystus (fl. 300–260 BCE, Greece, d)
Apollonius of Rhodes (270 – post–245 BCE, Alexandria, p)
Péter Apor (1676–1752, Hungary, nf)
Maja Apostoloska (born 1976, Yugoslavia/N Macedonia, p/nf)
Arjun Appadurai (born 1949, US, nf)
Nathacha Appanah (born 1973, Mauritius, f)
Jacob M. Appel (born 1973, US, f/nf/p)
Aharon Appelfeld (1932–2018, Romania/Israel, f)
Charles James Apperley (1777–1843, Wales/England, nf)
Adolphe Appia (1862–1928, Switzerland, nf)
Kwame Anthony Appiah (born 1954, England/US, nf/f)
Max Apple (born 1941, US, f)
Katherine Applegate (born 1956, US, ch)
Lisa Appignanesi (born 1946, Canada/England, nf)
Philip Appleman (1926–2020, US, p/nf)
Richard Appleton (1932–2005, Australia, p)
Victor Appleton (US house pseudonym since 1910s)
Katherine Applegate (born 1956, US, ch)
Boris Aprilov (1921–1995, Bulgaria, f/d/ch)
Lajos Áprily (1887–1967, Hungary, p)
Ann Catrin Apstein-Müller (born 1973, Germany, p)
Apuleius (124–170 CE, Roman E, f/nf)
Pawlu Aquilina (1929–2009, Malta, p/nf)
Louis Aragon (1897–1982, France, p/n)
Shio Aragvispireli (1867–1926, Russian E/USSR, f)
Arai Hakuseki (新井白石, 1657–1725, Japan, nf)
Motoko Arai (新井素子, born 1960, Japan, f)
Tōichirō Araki (荒木東一郎, 1895–1977, Japan, nf)
Ivan Aralica (born 1930, Yugoslavia/Croatia, f/nf)
Arambilet (born 1957, Dominican Rep., f/p/d), pseudonym of Ángel Luis Arambilet Álvarez
Gonzalo Arango (1931–1976, Colombia, nf/p)
Graça Aranha (1868–1931, Brazil, nf/f)
János Arany (1817–1882, Hungary, p)
Aratus (c. 315/310–240 BCE, Greece, p)
Helena Araújo (1934–2015, Colombia, nf)
Maria Arbatova (born 1957, USSR/Russia, f/d/p)
John Arbuthnot (1667–1735, Scotland/England, nf)
José Arce (1881–1968, Argentina/US, nf)
Manuel Maples Arce (1900–1981, Mexico, p/nf)
Jeffrey Archer (born 1940, England, f)
Jennifer Archer (born 1957, US, f/ch)
Maria Archer (1899–1982, Portugal, f/ch/d), pseudonym of Maria Emilia Archer Eyrolles Baltasar Moreira
Mary Archer (born 1944, England, nf)
Robyn Archer (born 1948, Australia, d/p/nf)
Archil of Imereti (1647–1713, Kingdom of Georgia/Russia, p)
Archilochus (c. 680–645 BCE, Greece, p)
Archimedes ( c. 287 – c. 212 BCE, Greece, nf)
Philip Ardagh (born 1961, England, f/ch)
Elvia Ardalani (born 1963, Mexico, p/nf/f)
Lavrenti Ardaziani (1815–1870, Russian E, f)
Jane Arden (1927–1982, England, d)
Edward Ardizzone (1900–1979, China/England, ch/nf)
Britt Arenander (born 1941, Sweden, f/p)
Reinaldo Arenas (1943–1990, Cuba, p/f/d)
Ana Paula Arendt (born 1980, Brazil, ch/d/p)
Hannah Arendt (1906–1975, Germany/US, nf)
Walter Conrad Arensberg (1878–1954, US, p)
Juan Argerich (1862–1924, Argentina, f/nf)
Tudor Arghezi (1880–1967, Romania, p/ch)
Alcides Arguedas (1879–1946, Bolivia, nf/f)
José María Arguedas (1911–1969, Peru, f/p/nf)
Manlio Argueta (born 1935, El Salvador, p/f)
Yemisi Aribisala (born 1973, Nigeria, nf)
Homero Aridjis (born 1940, Mexico, p/f/nf)
Dan Ariely (born 1967, US/Israel, nf)
Philippe Ariès (1914–1984, France, nf)
Afonso Arinos (1868–1916, Brazil, nf)
Ludovico Ariosto (1474–1533, Italy, p/d)
Ikuma Arishima (有島生馬, 1882–1974, Japan, f)
Takeo Arishima (有島武郎, 1878–1923, Japan, f/nf)
Aelius Aristides (AD 118–181, Greece, nf)
Aristophanes (c. 446–385 BC, Greece, d/p)
